"","Item.Type","Publication.Year","Author","Title","Publication.Title","DOI"
"1","journalArticle",2000,"Olmedo, M. L.; Landry, P. S.; Sadasivan, K. K.; Albright, J. A.; Marino, A. A.","programmed cell death in post-traumatic bone callus","cellular and molecular biology",""
"4","journalArticle",2023,"Takafuji, Yoshimasa; Kawao, Naoyuki; Ohira, Takashi; Mizukami, Yuya; Okada, Kiyotaka; Jo, Jun-Ichiro; Tabata, Yasuhiko; Kaji, Hiroshi","extracellular vesicles secreted from mouse muscle cells improve delayed bone repair in diabetic mice","endocrine journal",""
"49","bookSection",2020,"Zhou, Yinghong; Xiao, Yin","the development of extracellular vesicle-integrated biomaterials for bone regeneration","biomimicked biomaterials: advances in tissue engineering and regenerative medicine",""
"55","journalArticle",2023,"Santos, Susana G.; Silva, Andreia M.; Oliveira, Joana; Teixeira, Jose H.; Almeida, Maria Ines; Neves, Nuno; Cunha, Carla; Barbosa, Mario A.","extracellular vesicles for bone repair/regeneration: modulating the cross-talk between immune cells and mesenchymal stem/stromal cells","tissue engineering part a",""
"91","bookSection",2014,"Kumar, Sanjay","bone defect repair in mice by mesenchymal stem cells","animal models for stem cell therapy",""
"2","journalArticle",2022,"Li, M.; Xing, X.; Huang, H.; Liang, C.; Gao, X.; Tang, Q.; Xu, X.; Yang, J.; Liao, L.; Tian, W.","bmsc-derived apoevs promote craniofacial bone repair via ros/jnk signaling","journal of dental research","10.1177/00220345211068338"
"3","journalArticle",2023,"Huang, Chun-Chieh; Kang, Miya; Leung, Kasey; Lu, Yu; Shirazi, Sajjad; Gajendrareddy, Praveen; Ravindran, Sriram","micro rna based msc ev engineering: targeting the bmp2 cascade for bone repair","frontiers in cell and developmental biology","10.3389/fcell.2023.1127594"
"5","journalArticle",2022,"Dong, Ming; Shi, Chun; Yu, Xinxin; Yang, Qian; Wu, Saixuan; Liu, Runyuan; Liu, Tingjiao; Wang, Lina; Niu, Weidong","milk-derived small extracellular vesicles: nanomaterials to promote bone formation","journal of nanobiotechnology","10.1186/s12951-022-01580-w"
"7","journalArticle",2023,"Wu, Qi; Fu, Xiaoling; Li, Xian; Li, Jing; Han, Weiju; Wang, Yingjun","modification of adipose mesenchymal stem cells-derived small extracellular vesicles with fibrin-targeting peptide creka for enhanced bone repair","bioactive materials","10.1016/j.bioactmat.2022.05.031"
"8","journalArticle",2021,"Kang, Minjee; Lee, Chung-Sung; Lee, Min","bioactive scaffolds integrated with liposomal or extracellular vesicles for bone regeneration","bioengineering-basel","10.3390/bioengineering8100137"
"9","journalArticle",2023,"Shi, Yuanyuan; Zhang, Ruijie; Da, Ningning; Wang, Yiming; Yang, Jianhua; Li, Bei; He, Xiaoning","aspirin loaded extracellular vesicles inhibit inflammation of macrophages via switching metabolic phenotype in periodontitis","biochemical and biophysical research communications","10.1016/j.bbrc.2023.05.024"
"10","journalArticle",2019,"Xu, Jiajia; Wang, Yiyun; Hsu, Ching-Yun; Gao, Yongxing; Meyers, Carolyn Ann; Chang, Leslie; Zhang, Leititia; Broderick, Kristen; Ding, Catherine; Peault, Bruno; Witwer, Kenneth; James, Aaron Watkins","human perivascular stem cell-derived extracellular vesicles mediate bone repair","elife","10.7554/eLife.48191"
"11","journalArticle",2022,"Liang, Weishi; Han, Bo; Hai, Yong; Sun, Duan; Yin, Peng","mechanism of action of mesenchymal stem cell-derived exosomes in the intervertebral disc degeneration treatment and bone repair and regeneration","frontiers in cell and developmental biology","10.3389/fcell.2021.833840"
"12","journalArticle",2021,"Man, Kenny; Brunet, Mathieu Y.; Fernandez-Rhodes, Maria; Williams, Soraya; Heaney, Liam M.; Gethings, Lee A.; Federici, Angelica; Davies, Owen G.; Hoey, David; Cox, Sophie C.","epigenetic reprogramming enhances the therapeutic efficacy of osteoblast-derived extracellular vesicles to promote human bone marrow stem cell osteogenic differentiation","journal of extracellular vesicles","10.1002/jev2.12118"
"13","journalArticle",2022,"Man, Kenny; Barroso, Ines A.; Brunet, Mathieu Y.; Peacock, Ben; Federici, Angelica S.; Hoey, David A.; Cox, Sophie C.","controlled release of epigenetically-enhanced extracellular vesicles from a gelma/nanoclay composite hydrogel to promote bone repair","international journal of molecular sciences","10.3390/ijms23020832"
"14","journalArticle",2023,"Ball, Jacob R.; Shelby, Tara; Hernandez, Fergui; Mayfield, Cory K.; Lieberman, Jay R.","delivery of growth factors to enhance bone repair","bioengineering-basel","10.3390/bioengineering10111252"
"15","journalArticle",2020,"Holkar, Ketki; Vaidya, Anuradha; Pethe, Prasad; Kale, Vaijayanti; Ingavle, Ganesh","biomaterials and extracellular vesicles in cell-free therapy for bone repair and regeneration: future line of treatment in regenerative medicine","materialia","10.1016/j.mtla.2020.100736"
"16","journalArticle",2022,"Zhao, Bingjiao; Chen, Qingqing; Zhao, Liru; Mao, Jiaqi; Huang, Wei; Han, Xinxin; Liu, Yuehua","periodontal ligament stem cell-derived small extracellular vesicles embedded in matrigel enhance bone repair through the adenosine receptor signaling pathway","international journal of nanomedicine","10.2147/IJN.S346755"
"17","journalArticle",2023,"Man, Kenny; Brunet, Mathieu Y.; Lees, Rebecca; Peacock, Ben; Cox, Sophie C.","epigenetic reprogramming via synergistic hypomethylation and hypoxia enhances the therapeutic efficacy of mesenchymal stem cell extracellular vesicles for bone repair","international journal of molecular sciences","10.3390/ijms24087564"
"18","journalArticle",2020,"Jose Alcaraz, Maria; Compan, Alvaro; Isabel Guillen, Maria","extracellular vesicles from mesenchymal stem cells as novel treatments for musculoskeletal diseases","cells","10.3390/cells9010098"
"19","journalArticle",2023,"Yu, Xinxin; Dong, Ming; Wang, Lina; Yang, Qian; Wang, Long; Han, Wenqing; Dong, Juhong; Liu, Tingjiao; Kong, Ying; Niu, Weidong","nanotherapy for bone repair: milk-derived small extracellular vesicles delivery of icariin","drug delivery","10.1080/10717544.2023.2169414"
"20","journalArticle",2017,"Silva, Andreia M.; Almeida, Maria I.; Teixeira, Jose H.; Maia, Andre F.; Calin, George A.; Barbosa, Mario A.; Santos, Susana G.","dendritic cell-derived extracellular vesicles mediate mesenchymal stem/stromal cell recruitment","scientific reports","10.1038/s41598-017-01809-x"
"21","journalArticle",2018,"Diomede, Francesca; D'Aurora, Marco; Gugliandolo, Agnese; Merciaro, Ilaria; Ettorre, Valeria; Bramanti, Alessia; Piattelli, Adriano; Gatta, Valentina; Mazzon, Emanuela; Fontana, Antonella; Trubiani, Oriana","a novel role in skeletal segment regeneration of extracellular vesicles released from periodontal-ligament stem cells","international journal of nanomedicine","10.2147/IJN.S162836"
"22","journalArticle",2023,"Mizukami, Yuya; Kawao, Naoyuki; Takafuji, Yoshimasa; Ohira, Takashi; Okada, Kiyotaka; Jo, Jun-Ichiro; Tabata, Yasuhiko; Kaji, Hiroshi","matrix vesicles promote bone repair after a femoral bone defect in mice","plos one","10.1371/journal.pone.0284258"
"23","journalArticle",2023,"Ma, Yifan; Sun, Lili; Zhang, Jingjing; Chiang, Chi-ling; Pan, Junjie; Wang, Xinyu; Kwak, Kwang Joo; Li, Hong; Zhao, Renliang; Rima, Xilal Y.; Zhang, Chi; Zhang, Anan; Liu, Yutong; He, Zirui; Hansford, Derek; Reategui, Eduardo; Liu, Changsheng; Lee, Andrew S.; Yuan, Yuan; Lee, Ly James","exosomal mrnas for angiogenic-osteogenic coupled bone repair","advanced science","10.1002/advs.202302622"
"24","journalArticle",2021,"Eichholz, Kian F.; Federici, Angelica; Riffault, Mathieu; Woods, Ian; Mahon, Olwyn R.; O'Driscoll, Lorraine; Hoey, David A.","extracellular vesicle functionalized melt electrowritten scaffolds for bone tissue engineering","advanced nanobiomed research","10.1002/anbr.202100037"
"25","journalArticle",2019,"Chu, Chenyu; Wei, Shimin; Wang, Yuanjing; Wang, Yufei; Man, Yi; Qu, Yili","extracellular vesicle and mesenchymal stem cells in bone regeneration: recent progress and perspectives","journal of biomedical materials research part a","10.1002/jbm.a.36518"
"26","journalArticle",2021,"Huang, Chun-Chieh; Kang, Miya; Shirazi, Sajjad; Lu, Yu; Cooper, Lyndon F.; Gajendrareddy, Praveen; Ravindran, Sriram","3d encapsulation and tethering of functionally engineered extracellular vesicles to hydrogels","acta biomaterialia","10.1016/j.actbio.2021.03.030"
"27","journalArticle",2021,"Akdeniz-Dogan, Zeynep; Sendur, Samet; Karademir-Yilmaz, Betul; Bugdayci, Onur; Kaya, Ozlem T.; Yilmaz-Goler, Ayse M.; Gunduz, Oguzhan; Celebiler, Ozhan B.","the role of extracellular vesicles secreted from thermal stress-induced adipose-derived stem cells on bone regeneration","journal of craniofacial surgery","10.1097/SCS.0000000000007901"
"28","journalArticle",2018,"Haumer, Alexander; Bourgine, Paul Emile; Occhetta, Paola; Born, Gordian; Tasso, Roberta; Martin, Ivan","delivery of cellular factors to regulate bone healing","advanced drug delivery reviews","10.1016/j.addr.2018.01.010"
"29","journalArticle",2021,"Man, Kenny; Brunet, Mathieu Y.; Louth, Sophie; Robinson, Thomas E.; Fernandez-Rhodes, Maria; Williams, Soraya; Federici, Angelica S.; Davies, Owen G.; Hoey, David A.; Cox, Sophie C.","development of a bone-mimetic 3d printed ti6al4v scaffold to enhance osteoblast-derived extracellular vesicles' therapeutic efficacy for bone regeneration","frontiers in bioengineering and biotechnology","10.3389/fbioe.2021.757220"
"30","journalArticle",2020,"Emami, Asrin; Talaei-Khozani, Tahereh; Tavanafar, Saeid; Zareifard, Nehleh; Azarpira, Negar; Vojdani, Zahra","synergic effects of decellularized bone matrix, hydroxyapatite, and extracellular vesicles on repairing of the rabbit mandibular bone defect model","journal of translational medicine","10.1186/s12967-020-02525-3"
"31","journalArticle",2021,"Murali, Vishnu Priya; Holmes, Christina A.","mesenchymal stromal cell-derived extracellular vesicles for bone regeneration therapy","bone reports","10.1016/j.bonr.2021.101093"
"32","journalArticle",2023,"Man, Kenny; Eisenstein, Neil M.; Hoey, David A.; Cox, Sophie C.","bioengineering extracellular vesicles: smart nanomaterials for bone regeneration","journal of nanobiotechnology","10.1186/s12951-023-01895-2"
"33","journalArticle",2020,"Kang, Miya; Huang, Chun-Chieh; Lu, Yu; Shirazi, Sajjad; Gajendrareddy, Praveen; Ravindran, Sriram; Cooper, Lyndon F.","bone regeneration is mediated by macrophage extracellular vesicles","bone","10.1016/j.bone.2020.115627"
"34","journalArticle",2021,"Luo, Lin; Avery, Steven J.; Waddington, Rachel J.","exploring a chemotactic role for evs from progenitor cell populations of human exfoliated deciduous teeth for promoting migration of naive bmscs in bone repair process","stem cells international","10.1155/2021/6681771"
"35","journalArticle",2022,"Man, Kenny; Brunet, Mathieu Y.; Federici, Angelica S.; Hoey, David A.; Cox, Sophie C.","an ecm-mimetic hydrogel to promote the therapeutic efficacy of osteoblast-derived extracellular vesicles for bone regeneration","frontiers in bioengineering and biotechnology","10.3389/fbioe.2022.829969"
"36","journalArticle",2023,"Deng, Jiajia; Wang, Xin; Zhang, Weihua; Sun, Liangyan; Han, Xinxin; Tong, Xianqin; Yu, Liming; Ding, Jiandong; Yu, Lin; Liu, Yuehua","versatile hypoxic extracellular vesicles laden in an injectable and bioactive hydrogel for accelerated bone regeneration","advanced functional materials","10.1002/adfm.202211664"
"37","journalArticle",2023,"Wang, Tianchang; Li, Wentao; Zhang, Yuxin; Xu, Xiang; Qiang, Lei; Miao, Weiqiang; Yue, Xiaokun; Jiao, Xin; Zhou, Xianhao; Ma, Zhenjiang; Li, Shuai; Ding, Muliang; Zhu, Junfeng; Yang, Chi; Wang, Hui; Li, Tao; Sun, Xin; Wang, Jinwu","bioprinted constructs that simulate nerve-bone crosstalk to improve microenvironment for bone repair","bioactive materials","10.1016/j.bioactmat.2023.02.013"
"38","journalArticle",2023,"Holkar, Ketki; Kale, Vaijayanti; Pethe, Prasad; Ingavle, Ganesh","the symbiotic effect of osteoinductive extracellular vesicles and mineralized microenvironment on osteogenesis","journal of biomedical materials research part a","10.1002/jbm.a.37600"
"39","journalArticle",2022,"Brown, Sarah V.; Dewitt, Sharon; Clayton, Aled; Waddington, Rachel J.","identifying the efficacy of extracellular vesicles in osteogenic differentiation: an ev-lution in regenerative medicine","frontiers in dental medicine","10.3389/fdmed.2022.849724"
"40","journalArticle",2023,"Guo, Rongkang; Wu, Chaohan; Liu, Fan; Dong, Tianhua; Zhang, Tao","biomimetic composite hydrogel promotes new bone formation in rat bone defects through regulation of mir-19b-3p/wwp1 axis by loaded extracellular vesicles","journal of nanobiotechnology","10.1186/s12951-023-02201-w"
"41","journalArticle",2020,"Huang, Chun-Chieh; Kang, Miya; Lu, Yu; Shirazi, Sajjad; Diaz, Jose Iriarte; Cooper, Lyndon F.; Gajendrareddy, Praveen; Ravindran, Sriram","functionally engineered extracellular vesicles improve bone regeneration","acta biomaterialia","10.1016/j.actbio.2020.04.017"
"42","journalArticle",2023,"Li, Yiwei; Xu, Chun; Lei, Chang","the delivery and activation of growth factors using nanomaterials for bone repair","pharmaceutics","10.3390/pharmaceutics15031017"
"43","journalArticle",2023,"Lin, Ze; Xiong, Yuan; Sun, Yun; Zeng, Ruiyin; Xue, Hang; Hu, Yiqiang; Chen, Lang; Liu, Guodong; Panayi, Adriana C.; Zhou, Wu; Cao, Faqi; Gao, Fei; Mi, Bobin; Liu, Guohui","circulating mirna-21-enriched extracellular vesicles promote bone remodeling in traumatic brain injury patients","experimental and molecular medicine","10.1038/s12276-023-00956-8"
"44","journalArticle",2022,"Zhuang, Yu; Cheng, Mengjia; Li, Meng; Cui, Jinjie; Huang, Jinyang; Zhang, Chenglong; Si, Jiawen; Lin, Kaili; Yu, Hongbo","small extracellular vesicles derived from hypoxic mesenchymal stem cells promote vascularized bone regeneration through the mir-210-3p/efna3/pi3k pathway","acta biomaterialia","10.1016/j.actbio.2022.07.015"
"45","journalArticle",2023,"Yang, Tingting; Dong, Yunsheng; Wan, Jinpeng; Liu, Xiangsheng; Liu, Yufei; Huang, Jiaxing; Zhou, Jie; Xiao, Hui; Tang, Lizong; Wang, Yanying; Wang, Shufang; Cai, Hong","sustained release of bmsc-evs from 3d printing gel/ha/nhap scaffolds for promoting bone regeneration in diabetic rats","advanced healthcare materials","10.1002/adhm.202203131"
"46","journalArticle",2016,"Furuta, Taisuke; Miyaki, Shigeru; Ishitobi, Hiroyuki; Ogura, Toshihiko; Kato, Yoshio; Kamei, Naosuke; Miyado, Kenji; Higashi, Yukihito; Ochi, Mitsuo","mesenchymal stem cell-derived exosomes promote fracture healing in a mouse model","stem cells translational medicine","10.5966/sctm.2015-0285"
"47","journalArticle",2023,"Shen, N.; Maggio, M.; Woods, I.; C. Lowry, M.; Almasri, R.; Gorgun, C.; Eichholz, K. F.; Stavenschi, E.; Hokamp, K.; Roche, F. M.; O'Driscoll, L.; Hoey, D. A.","mechanically activated mesenchymal-derived bone cells drive vessel formation via an extracellular vesicle mediated mechanism","journal of tissue engineering","10.1177/20417314231186918"
"48","journalArticle",2023,"Chen, Changjun; Fu, Li; Luo, Yue; Zeng, Weinan; Qi, Xin; Wei, Yang; Chen, Liyile; Zhao, Xin; Li, Donghai; Tian, Meng; Kang, Pengde","engineered exosome-functionalized extracellular matrix-mimicking hydrogel for promoting bone repair in glucocorticoid-induced osteonecrosis of the femoral head","acs applied materials & interfaces","10.1021/acsami.3c01539"
"50","journalArticle",2022,"Zhang, Zhengyue; Yang, Xiao; Cao, Xiankun; Qin, An; Zhao, Jie","current applications of adipose-derived mesenchymal stem cells in bone repair and regeneration: a review of cell experiments, animal models, and clinical trials","frontiers in bioengineering and biotechnology","10.3389/fbioe.2022.942128"
"51","journalArticle",2023,"Wang, Tianji; Liu, Keyin; Wang, Jing; Xiang, Geng; Hu, Xiaofan; Bai, Hao; Lei, Wei; Tao, Tiger H. H.; Feng, Yafei","spatiotemporal regulation of injectable heterogeneous silk gel scaffolds for accelerating guided vertebral repair","advanced healthcare materials","10.1002/adhm.202202210"
"52","journalArticle",2022,"Hu, Hongxing; Zhang, Hang; Bu, Ziheng; Liu, Zhongtang; Lv, Fang; Pan, Mingmang; Huang, Xuan; Cheng, Liming","small extracellular vesicles released from bioglass/hydrogel scaffold promote vascularized bone regeneration by transferring mir-23a-3p","international journal of nanomedicine","10.2147/IJN.S389471DovePress"
"53","journalArticle",2023,"Khazaei, Fatemeh; Rezakhani, Leila; Alizadeh, Morteza; Mahdavian, Elahe; Khazaei, Mozafar","exosomes and exosome-loaded scaffolds: characterization and application in modern regenerative medicine","tissue & cell","10.1016/j.tice.2022.102007"
"54","journalArticle",2021,"Zhang, Yuntong; Xie, Yang; Hao, Zichen; Zhou, Panyu; Wang, Panfeng; Fang, Shuo; Li, Lu; Xu, Shuogui; Xia, Yan","umbilical mesenchymal stem cell-derived exosome-encapsulated hydrogels accelerate bone repair by enhancing angiogenesis","acs applied materials & interfaces","10.1021/acsami.0c22671"
"56","journalArticle",2021,"Zha, Yao; Li, Yawu; Lin, Tianyi; Chen, Jia; Zhang, Shengmin; Wang, Jianglin","progenitor cell-derived exosomes endowed with vegf plasmids enhance osteogenic induction and vascular remodeling in large segmental bone defects","theranostics","10.7150/thno.50741"
"57","journalArticle",2019,"Cui, Yigong; Fu, Shenglong; Sun, Dong; Xing, Junchao; Hou, Tianyong; Wu, Xuehui","epc-derived exosomes promote osteoclastogenesis through lncrna-malat1","journal of cellular and molecular medicine","10.1111/jcmm.14228"
"58","journalArticle",2018,"Petho, Adrienn; Chen, Yinghua; George, Anne","exosomes in extracellular matrix bone biology","current osteoporosis reports","10.1007/s11914-018-0419-y"
